name,team,games,category,desc.,year,source
R. Tucker,CLE.4,4.106,PEDs.111,Unnamed: 898,2007.10,http://www.nfl.com/news/story/09000d5d8012fe77/article/browns-offensive-lineman-ryan-tucker-suspended-4-games-for-violating-nfl-steroid-policy
K. Uecker,GB.5,4.107,PEDs.112,Unnamed: 904,1989.11,http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html
A. Ulmer,MIN.5,4.108,PEDs.113,Unnamed: 910,1997.2,http://www.apnewsarchive.com/1997/Vikings-rookie-suspended-for-steroid-use/id-6fa45c120b20b6e4d035442c8a62da30
J. Waddy,GB.6,4.109,PEDs.114,Unnamed: 916,1998,http://a.espncdn.com/nfl/columns/pasquarelli_len/1403350.html
J. Welbourn,KC.3,4.110,PEDs.115,Unnamed: 922,2005.4,http://sports.espn.go.com/nfl/columns/story?columnist=pasquarelli_len&id=2150559
L. West,NYG.7,4.111,PEDs.116,Unnamed: 928,1999.3,http://static.espn.go.com/nfl/news/1999/1201/205894.html
P. Wiggins,PIT.1,4.112,PEDs.117,Unnamed: 934,1998.1,http://alb.merlinone.net/mweb/wmsql.wm.request?oneimage&imageid=5942417
B. Williams,CIN.7,4.113,PEDs.118,Unnamed: 940,2014.18,http://www.foxsports.com/nfl/story/Cincinnati-Bengals-Bobbie-Williams-suspension-substance-abuse-policy-090311?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxsports%2FRSS%2FNFL+(FOXSports.com+News+for+NFL)
K. Winslow,NYJ.3,4.114,PEDs.119,Unnamed: 946,2013.13,http://www.nfl.com/news/story/0ap2000000260647/article/kellen-winslow-suspended-4-games-for-ped-violation
E. Wright,TB.4,4.115,PEDs.120,Unnamed: 952,2012.25,http://espn.go.com/nfl/story/_/id/8680228/eric-wright-tampa-bay-buccaneers-suspended-4-games
F. Wycheck,WAS.7,4.116,PEDs.121,Unnamed: 958,1994,http://articles.philly.com/1994-11-30/sports/25868967_1_frank-wycheck-steroids-nfl-policy
T. Zbikowski,FREE.3,4.117,PEDs.122,Unnamed: 964,2013.14,http://espn.go.com/nfl/story/_/id/9660103/nfl-suspends-free-agents-tom-zbikowski-brandon-mcdonald
L. Ziemba,CAR.4,4.118,PEDs.123,Unnamed: 970,2012.26,http://blogs.charlotte.com/panthers/2012/10/ziemba-suspended-4-games-for-violating-ped-policy.html
W. Welker,DEN.8,4.119,PEDs.124,Unnamed: 976,2014.19,http://www.usatoday.com/story/sports/nfl/broncos/2014/09/02/wes-welker-suspended-four-games-amphetamine-denver/14992795/
J. Allen,KC.4,4.120,Personal conduct.12,"DUI arrest, multiple",2007.11,http://sports.espn.go.com/nfl/news/story?id=2851494
J. Cooper,CAR.5,4.121,Personal conduct.13,"DUI arrest, drugs",2003.5,http://www.usatoday.com/sports/nfl/arrests/all/car/all/
M. Goodson,NYJ.4,4.122,Personal conduct.14,"Arrest, possession of weapon and marijuana",2013.15,http://espn.go.com/new-york/nfl/story/_/id/9603404/mike-goodson-new-york-jets-suspended-4-games
C. Henry,CIN.8,4.123,Personal conduct.15,Mulitple arrests,2007.12,http://www.nfl.com/news/story/09000d5d80b58799/article/bengals-wr-henry-activated-after-serving-fourgame-suspension
B. McKinnie,MIN.6,4.124,Personal conduct.16,"Accused of disorderly conduct, resisting arrest",2008.4,http://sports.espn.go.com/nfl/news/story?id=3560135
B. Roethlisberger,PIT.2,4.125,Personal conduct.17,Sexual assault,2012.27,http://www.nfl.com/news/story/09000d5d81a3eb23/article/goodell-reduces-roethlisbergers-suspension-to-four-games
E. Warfield,KC.5,4.126,Personal conduct.18,"DUI arrest, multiple.1",2005.5,http://sports.espn.go.com/nfl/columns/story?columnist=pasquarelli_len&id=2106473
