id,candidate,song,artist,sentiment,theme,album_release_date,line,url
116,Donald Trump.5,Strip Club Luv,69 Boyz,positive.22,money.8,1998.2,Girl if your beauty was a dollar you'd be richer than Trump,http://genius.com/69-boyz-strip-club-luv-lyrics
117,Donald Trump.6,No Shots,7L & Esoteric,positive.23,money.9,2010.5,It's like Trump in your crib countin' money with you,http://genius.com/7l-no-shots-lyrics
118,Donald Trump.7,Skypager,A Tribe Called Quest,positive.24,money.10,1991,Beeper's goin off like Don Trump gets checks,http://genius.com/A-tribe-called-quest-skypager-lyrics
119,Donald Trump.8,Dolly and the Rat Trap,Ultramagnetic MC's,neutral.55,money.11,1992,Look at Donald Trump!,http://genius.com/Ultramagnetic-mcs-dolly-and-the-rat-trap-lyrics
120,Donald Trump.9,The Coup,The Coup.1,negative.37,political.28,1993.2,"Break yourself Trump, it's collection day",http://genius.com/The-coup-the-coup-lyrics
121,Donald Trump.10,Give It Up Fast,Nas.1,positive.25,hotel,1996.2,I need a suite with the flowers complimentary at Trump Towers,http://genius.com/Mobb-deep-give-it-up-fast-lyrics
122,Donald Trump.11,Trailer,Ace Hood,positive.26,money.12,2013.9,"I'm trying to get richer than Trump, a couple million for lunch",http://genius.com/Ace-hood-trailer-lyrics
123,Donald Trump.12,The Ebonic Plague,Ras Kass,neutral.56,N/A.43,1997.2,Donald Trump wouldn't let you shine his shoes my man,http://genius.com/Cru-the-ebonic-plague-lyrics
124,Donald Trump.13,Yeah Yeah Yeah,Akala,positive.27,money.13,2006.2,"It amazes me, these rappers are so dumb / Get they advance and think they Trump",http://genius.com/Akala-yeah-yeah-yeah-lyrics
125,Donald Trump.14,Boughetto,Ali.1,positive.28,money.14,2002.2,"Trump money, but it's still the motel and Kyjuan",http://genius.com/Ali-boughetto-lyrics
126,Donald Trump.15,Mafioso,Kool G. Rap,positive.29,hotel.1,1998.3,Can't stop until I got a Casa up in Trump plaza,http://genius.com/Kool-g-rap-mafioso-lyrics
127,Donald Trump.16,Soldiers,Master P.1,neutral.57,N/A.44,1998.4,Follow me dumpin' n----s study humpin' I ain't Donald Trump,http://genius.com/C-murder-soldiers-lyrics
128,Donald Trump.17,Turn It Into Somethin',Frost,positive.30,hotel.2,1999.3,Real G's posted up at the Trump Towers,http://genius.com/Frost-turn-it-into-somethin-lyrics
129,Donald Trump.18,Fire,Makeba Mooncycle,neutral.58,N/A.45,1999.4,Playin Donald Trump for the mic with this,http://genius.com/Royal-fam-fire-lyrics
130,Donald Trump.19,Ba Bump,Black Eyed Peas,positive.31,money.15,2006.3,And if you got money fellas keep it like Trump,http://genius.com/Black-eyed-peas-ba-bump-lyrics
131,Donald Trump.20,Open Your Mind,Black The Ripper,positive.32,money.16,2013.10,"Who am I kidding, I'm try'na live lavish like Trump",http://genius.com/Black-the-ripper-open-your-mind-lyrics
132,Donald Trump.21,PlaneWalker,Bobby Raps,positive.33,money.17,2015.9,I do more deals than Donald Trump does,http://genius.com/Bobby-raps-planewalker-wuhuwahnmi2du-lyrics
133,Donald Trump.22,New World,Nas.2,neutral.59,money.18,1999.5,The new Don Trump is Bill Gates,http://genius.com/Nas-new-world-lyrics
134,Donald Trump.23,Speed Law,Yasiin Bey (Mos Def),positive.34,hotel.3,1999.6,Rocked the Trump Tower to the terrordome,http://genius.com/Yasiin-bey-speed-law-lyrics
135,Donald Trump.24,Molly (remix),Boston George,positive.35,money.19,2013.11,Big money like Donald Trump,http://genius.com/Boston-george-molly-remix-lyrics
136,Donald Trump.25,Cloud Aura,Brooke Candy,positive.36,personal.32,2013.12,"Ivana and Trump, shit, we coulda' ran the world",http://genius.com/Charli-xcx-cloud-aura-lyrics
137,Donald Trump.26,Hey Papi,Jay Z.2,positive.37,hotel.4,2000.3,I went to 1 Trump Plaza on their asses,http://genius.com/Jay-z-hey-papi-lyrics
138,Donald Trump.27,E.I.,Nelly,positive.38,hotel.5,2000.4,Get a room in Trump Towers just to hit the P hours,http://genius.com/Nelly-ei-lyrics
139,Donald Trump.28,Dipshits,Cam'ron,positive.39,hotel.6,2014.5,"Lookin' for me? Top floor suite of the Trump, baby",http://genius.com/Camron-dipshits-lyrics
140,Donald Trump.29,Soundscience,Souls of Mischief,neutral.60,personal.33,2000.5,They high drama like Trump and Ivana,http://genius.com/Souls-of-mischief-soundscience-lyrics
141,Donald Trump.30,Everywhere I Go,Tha Eastsidaz,positive.40,hotel.7,2001.4,I got a room at the Trump / Later on we can slump,http://genius.com/Tha-eastsidaz-everywhere-i-go-lyrics
142,Donald Trump.31,Ghetto Manifesto,The Coup.2,neutral.61,N/A.46,2001.5,Met Donald Trump and he froze up,http://genius.com/The-coup-ghetto-manifesto-lyrics
143,Donald Trump.32,Shorty,Chingy,positive.41,money.20,2003.1,"I'm the young Donald Trump, is y'all hearin me?",http://genius.com/Busta-rhymes-shorty-lyrics
144,Donald Trump.33,Crazy,50 Cent.1,positive.42,hotel.8,2002.3,Now I'm paid - catch me in the Trump Tower lobby,http://genius.com/50-cent-crazy-lyrics
145,Donald Trump.34,Wet! Wet! Wet!,Princess Superstar,neutral.62,hotel.9,2002.4,"Wet in the elevator, Trump Tower or my lunch hour",http://genius.com/Princess-superstar-wet-wet-wet-lyrics
146,Donald Trump.35,Get Paid,Styles P,positive.43,hotel.10,2002.5,"Tryin' to see my shit in the Forbes, Trump Tower for 'self",http://genius.com/Styles-p-get-paid-lyrics
147,Donald Trump.36,Hustle Harder,Common,positive.44,hotel.11,2014.6,She know what n----s want she know how to make 'em hunt / Hotel suite at the Trump,http://genius.com/Common-hustle-harder-lyrics
